Pavlis, N.K., S.A. Holmes, S.C. Kenyon, and J.K. Factor:
An Earth Gravitational Model to Degree 2160: EGM2008,
presented at the 2008 General Assembly of the European Geosciences Union,
Vienna, Austria, April 13-18, 2008.


product_type                gravity_field
modelname                   EGM2008
earth_gravity_constant      0.3986004415E+15
radius                      0.63781363E+07
max_degree                  2190
errors                      calibrated
norm                        fully_normalized
tide_system                 tide_free

url                   http://earth-info.nima.mil/GandG/

 
 
key     L    M             C                       S                    sigma C             sigma S
gfc    20   13    0.274124121971504D-07    0.676382000592810D-08    0.2857560646D-11    0.2855362782D-11
gfc    20   14    0.115262785907965D-07   -0.143820399199974D-07    0.3075365508D-11    0.3078510279D-11
gfc    20   15   -0.257906406507802D-07   -0.865059449398313D-09    0.3692732251D-11    0.3689925530D-11
gfc    20   16   -0.124242154429344D-07   -0.343443068287856D-09    0.4252450806D-11    0.4255853118D-11
gfc    20   17    0.450343354729068D-08   -0.137322621927409D-07    0.4215098888D-11    0.4204164091D-11
gfc    20   18    0.153567048646754D-07   -0.897483616979646D-09    0.5978691038D-11    0.5983913383D-11
gfc    20   19   -0.303011942827495D-08    0.109224394426113D-07    0.7284088331D-11    0.7285749958D-11
gfc    20   20    0.373507214738094D-08   -0.126949126479726D-07    0.6017275278D-11    0.6022075547D-11
gfc    21    0    0.624977184727142D-08    0.000000000000000D+00    0.4533890707D-12    0.0000000000D+00
gfc    21    1   -0.161584960390177D-07    0.286922505251025D-07    0.4347921680D-12    0.4771258201D-12
gfc    21    2   -0.561669574474890D-08    0.417895773465870D-08    0.4829629777D-12    0.4500543673D-12
gfc    21    3    0.191460394251428D-07    0.227233961252948D-07    0.4946010177D-12    0.4922398908D-12
gfc    21    4   -0.510972529743564D-08    0.189848723340178D-07    0.5876923943D-12    0.5786318815D-12
gfc    21    5    0.260621810044519D-08    0.109716488096280D-08    0.6784900095D-12    0.6804381437D-12
gfc    21    6   -0.135494262411299D-07    0.137121217327310D-10    0.8761383750D-12    0.8706926957D-12
gfc    21    7   -0.661044220014108D-08    0.252121037411060D-08    0.1064379518D-11    0.1065221833D-11
gfc    21    8   -0.172312779180303D-07    0.214879443753672D-08    0.1314278298D-11    0.1312076543D-11
gfc    21    9    0.158563800022178D-07    0.907842486286134D-08    0.1535602658D-11    0.1533610877D-11
gfc    21   10   -0.113997405607735D-07   -0.114046472237802D-08    0.1801565618D-11    0.1801712592D-11
gfc    21   11    0.689424285619426D-08   -0.355785033947298D-07    0.2032954680D-11    0.2033230423D-11
gfc    21   12   -0.332626248475741D-08    0.147748999984542D-07    0.2355240710D-11    0.2353873371D-11
gfc    21   13   -0.193635228526149D-07    0.139380032642790D-07    0.2562418822D-11    0.2559986714D-11
gfc    21   14    0.202649547927933D-07    0.735384450372034D-08    0.3080982024D-11    0.3083126485D-11
gfc    21   15    0.175731363406368D-07    0.103689708517120D-07    0.3428277561D-11    0.3425824122D-11
gfc    21   16    0.749270977345996D-08   -0.665348605902996D-08    0.3871621542D-11    0.3875015791D-11
gfc    21   17   -0.746685761804970D-08   -0.737748863908340D-08    0.4527948272D-11    0.4521562797D-11
gfc    21   18    0.264707224617052D-07   -0.110721542080636D-07    0.4396775387D-11    0.4402325952D-11
gfc    21   19   -0.272027235635120D-07    0.165551841156344D-07    0.6292951978D-11    0.6291928540D-11
